Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
184,100.076,2.755,29.737,17.828,1.226,0.999,09/14/24-20:18:22
185,100.073,1.068,26.894,13.048,3.721,0.999,09/14/24-20:20:32
186,100.074,5.683,29.027,17.644,0.862,0.999,09/14/24-20:22:42
187,100.075,5.235,29.084,17.681,0.963,0.999,09/14/24-20:24:52
188,100.072,2.004,30.114,17.069,2.688,0.999,09/14/24-20:27:02
189,100.083,2.418,32.211,18.168,1.326,0.999,09/14/24-20:29:13
190,100.078,1.142,27.579,14.205,4.36,0.999,09/14/24-20:31:23
191,100.071,4.596,30.001,17.349,0.786,0.999,09/14/24-20:33:33
192,100.078,2.431,29.868,17.804,1.112,0.999,09/14/24-20:35:43
193,100.077,3.946,30.079,18.084,1.201,0.999,09/14/24-20:37:53
194,100.082,1.966,29.346,17.196,2.05,0.999,09/14/24-20:40:03
195,100.079,3.24,29.509,18.942,1.233,0.999,09/14/24-20:42:13
196,100.073,1.568,32.062,17.117,2.186,0.999,09/14/24-20:44:23
197,100.079,1.769,29.671,17.373,1.729,0.999,09/14/24-20:46:34
198,100.081,4.596,30.645,17.227,1.002,0.999,09/14/24-20:48:44
199,100.08,1.697,34.64,17.753,1.924,0.999,09/14/24-20:50:54
200,100.078,4.616,29.71,17.125,0.905,0.999,09/14/24-20:53:04
201,100.073,2.731,30.06,17.872,1.165,0.999,09/14/24-20:55:14
202,100.08,4.017,30.971,17.472,1.164,0.999,09/14/24-20:57:24
203,100.067,1.164,29.537,14.5,2.327,0.999,09/14/24-20:59:34
204,100.072,4.654,30.076,18.363,1.348,0.999,09/14/24-21:01:45
205,100.078,3.172,30.371,16.801,0.957,0.999,09/14/24-21:03:55
206,100.082,1.395,25.815,11.205,3.169,0.999,09/14/24-21:06:05
207,100.083,1.397,28.472,11.291,3.653,0.999,09/14/24-21:08:15
208,100.077,2.91,36.163,18.327,1.159,0.999,09/14/24-21:10:25
209,100.068,3.08,32.196,15.955,0.703,0.999,09/14/24-21:12:35
210,100.071,2.143,28.473,16.074,2.455,0.999,09/14/24-21:14:45
211,100.072,4.464,29.067,18.212,1.261,0.999,09/14/24-21:16:55
212,100.073,1.268,29.555,16.829,1.401,0.999,09/14/24-21:19:06
213,100.075,1.932,30.289,17.776,0.968,0.999,09/14/24-21:21:16
214,100.083,2.281,28.997,17.785,1.145,0.999,09/14/24-21:23:26
215,100.079,2.777,30.073,17.778,1.095,0.999,09/14/24-21:25:36
216,100.078,2.323,31.34,17.987,1.051,0.999,09/14/24-21:27:46
217,100.061,1.647,29.492,14.773,0.926,0.999,09/14/24-21:29:56
218,100.069,1.549,29.003,14.94,1.19,0.999,09/14/24-21:32:06
219,100.073,1.67,29.958,14.298,2.909,0.999,09/14/24-21:34:16
